name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers
Idol Party,15-08-2024,0.0002986488773437,0.0,0.0018867663186364,18.90040585677796,76,Indie,LONGYOU TECHNOLOGY PTE.LTD.,LONGYOU TECHNOLOGY PTE.LTD.
The Braves,03-05-2024,0.0011373707408294,0.0,0.0025270764817847,37.56037743623871,65,Indie,101XP,101XP GAME STUDIOS
Predecessor,20-08-2024,0.0140831814550889,0.0,0.130487918961502,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios
黄毛漂流记,05-02-2024,0.0027260981836487,0.0597238895558223,0.0027912040618678,2.9681194503239188,0,Indie,BalloonsGame,BalloonsGame
ESCAPE FROM BOYKISSER,10-02-2024,0.0008438945401194,0.0597238895558223,0.0001259930574,1.5818382138488385,84,Indie,akhsotoen,akhsotoen
False Dream,16-01-2024,0.0007071276686212,0.0597238895558223,0.0005101154053519,2.8520489149129244,97,Indie,TenkaiGames,TenkaiGames
Chushpan Simulator,01-02-2024,0.0015088274817347,0.0597238895558223,0.000814260559554,1.344691514321377,84,Indie,Sebasa Games,Sebasa Games
Spy Alliance,08-08-2024,0.0030219817936096,0.0597238895558223,0.0038579433493718,0.9404285900243136,70,Indie,ALT Lab,ALT Lab
City Lights Love Bites Season 0 [Pilot Season],12-07-2024,0.0008845927694829,0.0600240096038415,0.0007499021003807,0.9445049616150892,92,Indie,NaughtyOba,NaughtyOba
King of the Bridge,08-03-2024,0.0006844524760822,0.0897358943577431,0.0011096256087901,2.2387116478207623,96,Indie,Finn Schuuring,Finn Schuuring
Xiangsheng Simulator,04-02-2024,0.0016304992465785,0.0897358943577431,0.001464046281527,2.025891516718508,77,Indie,Wave Ecstacy,Wave Ecstacy
CLICKOLDING,16-07-2024,0.0009674531932949,0.0897358943577431,0.001588996158139,0.9591748044351496,87,Indie,"Strange Scaffold,Outersloth",Strange Scaffold
Twilight Survivors,01-04-2024,0.0009266898988165,0.0897358943577431,0.0014901837557162,10.15643345075452,89,Indie,DORIDORI STUDIO,DORIDORI STUDIO
Malware,31-07-2024,0.0010338196104824,0.0897358943577431,0.0014989928379263,1.863085353681632,88,Indie,Odd Games,Odd Games
Buckshot Roulette,04-04-2024,0.0483514159047379,0.0897358943577431,0.0970426462158414,2.995872787721658,95,Indie,CRITICAL REFLEX,Mike Klubnika
TRADESMAN: Deal to Dealer,18-06-2024,0.0007415145818404,0.0897358943577431,0.0012321993513849,10.285109683855875,0,Indie,AZAMATIKA,AZAMATIKA
エスカレーター |  Escalator,06-01-2024,0.0004245173420978,0.0897358943577431,0.0003852814377163,0.970338311259362,38,Indie,Toyasky,Toyasky
Akai Onna,04-01-2024,0.0003827455383386,0.0897358943577431,0.0002249213687992,0.692439412021328,89,Indie,Yamoto,Yamoto
Lost:Antinomy,24-03-2024,0.0006993849199494,0.0897358943577431,0.000718490767763,5.613759191806671,93,Indie,IMaiIna,IMaiIna
Just Click The Button,17-01-2024,0.000489614989545,0.0897358943577431,0.0006093334891922,6.070071139889177,93,Indie,Simon Eftestol,Simon Eftestol
Nodebuster,13-08-2024,0.0004915344104342,0.0897358943577431,0.0006330078976319,2.7462502016137416,99,Indie,Goblobin,Goblobin
Staffer Reborn,26-04-2024,0.0005570875136856,0.0897358943577431,0.000640773799054,0.8715559011038803,98,Indie,Team Tetrapod,Team Tetrapod
KUNKUN Defender,02-05-2024,0.000786897499476,0.0897358943577431,0.000931734307185,2.503987080889346,98,Indie,Seal,Seal
Benefitship,12-07-2024,0.0003881459428745,0.0897358943577431,0.0003315866043764,1.7604861868198556,96,Indie,RFH Games,RFH Games
Unspoken,01-04-2024,0.0004058436541245,0.0897358943577431,0.0004012478992222,1.221261653746725,91,Indie,Weeping Studio,Weeping studio
EXIT KUN,04-02-2024,0.0009902259835063,0.0897358943577431,0.0010379359068564,1.6875465233684876,85,Indie,AIKUN,"IKUN&KUN,AIKUN"
Doki Doki AI Interrogation,24-05-2024,0.0007109014452848,0.1047418967587034,0.0012902407713417,1.4546503626836578,82,Indie,YAMADA,YAMADA
Dog Brew,30-04-2024,0.0007654260115624,0.1050420168067226,0.0013360248170391,2.364138281649029,98,Indie,"Yuliy Oneshko,S-Grade","Yuliy Oneshko,S-Grade"
Fork Road,11-06-2024,0.0015536573458937,0.1197478991596638,0.0044318376690148,0.7547324928427664,0,Indie,Simon Au Yeung,Simon Au Yeung
Old Coin Pusher Friends 3,25-07-2024,0.000368658940965,0.1197478991596638,0.0005866153298082,12.495623448004896,97,Indie,STP WORKS,STP WORKS
Buckshot With Friends,19-02-2024,0.0001943820307329,0.1197478991596638,5.175335798446811e-05,0.6779560081356253,52,Indie,yythgim,yythgim
Climber Animals: Together,22-03-2024,0.0003923426427849,0.1197478991596638,0.0004491762609838,2.713706604500689,93,Indie,Weakfish Studio Publishing,Payoff Games
Bagel Love Story,20-05-2024,0.0004041844936948,0.1197478991596638,0.0006442220911034,2.7087018909894858,98,Indie,NVLMaker,橘子班
Innocence Or Money | Season 2 | Episode 1,10-08-2024,0.000300503233118,0.1197478991596638,0.0004345427527072,1.892374217964523,75,Indie,MarcialART,MarcialART
Dünnes Eis - Das Spiel zum Song,16-05-2024,0.0001904455912821,0.1197478991596638,8.252719123167144e-05,0.9798791592039828,100,Indie,"Lorke Records, Inh. Anne Baumann","Baumann Bergmann Pokinsson,Jan Baumann"
Boldly Forward,07-02-2024,0.0002053455025919,0.1197478991596638,9.127831895356917e-05,15.315030346177886,47,Indie,SmallMill,SmallMill
Pape Rangers,09-08-2024,0.000192853000533,0.1197478991596638,2.689088253616254e-05,7.845511818942673,79,Indie,OKJOY,Pape Game Studio
Voyager-19,19-05-2024,0.0002629606618267,0.1197478991596638,0.0001708498312857,0.6285501794880277,90,Indie,Deep Root Interactive,Deep Root Interactive
The Pony Factory,18-01-2024,0.0003044722051263,0.1197478991596638,0.0002556082703141,0.6334106168309567,0,Indie,David Szymanski,"David Szymanski,John Szymanski"
